T,Lbest,Lcur
1334.488005436121,1560984.214983926388,1578032.212516141124
1327.815565408941,1560984.214983926388,1613094.708907266613
1321.176487581896,1557628.445709150517,1593936.769363642437
1314.570605143987,1542244.272879716009,1563613.044937593164
1307.997752118267,1542244.272879716009,1578179.660028643906
1301.457763357675,1542244.272879716009,1582027.230509954272
1294.950474540887,1542244.272879716009,1580661.767546607647
1288.475722168183,1542244.272879716009,1606224.161717882380
1282.033343557342,1542244.272879716009,1607189.122573817149
1275.623176839555,1542244.272879716009,1560219.658809779678
1269.245060955357,1542244.272879716009,1599346.896079658531
1262.898835650580,1542244.272879716009,1570359.169454851886
1256.584341472327,1541646.407052583061,1591672.733838070882
1250.301419764966,1541646.407052583061,1593327.826166107086
1244.049912666141,1541646.407052583061,1583381.770249541849
1237.829663102810,1541646.407052583061,1619791.362391710514
1231.640514787296,1541646.407052583061,1590828.018686807714
1225.482312213360,1541646.407052583061,1568713.296397987055
1219.354900652293,1540748.310432257364,1578572.204023088329
1213.258126149032,1540748.310432257364,1572406.603295980720
1207.191835518286,1521177.125199836213,1542570.844481596258
1201.155876340695,1517322.915294401348,1534035.407125892350
1195.150096958992,1517322.915294401348,1595043.620884816395
1189.174346474196,1517322.915294401348,1588011.560503725661
1183.228474741825,1498553.640655417927,1501675.966727088206
1177.312332368116,1498553.640655417927,1570985.221572788898
1171.425770706276,1498553.640655417927,1517598.007248714333
1165.568641852744,1498553.640655417927,1552482.350080766249
1159.740798643481,1498553.640655417927,1548018.558161260560
1153.942094650263,1475057.022946280660,1489467.609316013986
1148.172384177012,1463113.437130205333,1484317.928131429479
1142.431522256127,1462781.466853716411,1500770.228585679084
1136.719364644846,1443505.016064644791,1458829.101705694571
1131.035767821622,1443505.016064644791,1501554.508963213768
1125.380588982514,1443505.016064644791,1497760.705624055583
1119.753686037601,1443505.016064644791,1516425.665251474595
1114.154917607413,1443505.016064644791,1493858.753507062793
1108.584143019376,1443505.016064644791,1486543.156269862782
1103.041222304279,1433286.108320997329,1446524.465279333061
1097.526016192758,1430910.039012223016,1442007.758981781313
1092.038386111794,1430910.039012223016,1440942.173745150212
1086.578194181235,1413456.490248216316,1451840.186548368307
1081.145303210329,1413456.490248216316,1469363.572932417737
1075.739576694278,1413456.490248216316,1510777.533597886097
1070.360878810806,1413456.490248216316,1511078.030230101896
1065.009074416752,1402324.608781124931,1402379.010294909589
1059.684029044668,1389537.854710761691,1427480.899745709263
1054.385608899445,1389537.854710761691,1413899.494067234453
1049.113680854948,1389537.854710761691,1426961.913758419687
1043.868112450673,1389537.854710761691,1456404.601012732601
1038.648771888420,1389537.854710761691,1454696.515019985149
1033.455528028977,1389537.854710761691,1467814.960588749265
1028.288250388832,1389537.854710761691,1429973.337787021883
1023.146809136888,1381677.582268062280,1416311.329849314177
1018.031075091204,1381677.582268062280,1418254.097749376437
1012.940919715748,1381677.582268062280,1430931.745526270242
1007.876215117169,1381677.582268062280,1423243.012911724392
1002.836834041583,1381677.582268062280,1413359.194888838101
997.822649871375,1381677.582268062280,1415565.623766752658
992.833536622018,1381677.582268062280,1398112.533212227048
987.869368938908,1372149.403156473301,1394239.851120070089
982.930022094214,1358699.360329776537,1365766.189327594591
978.015371983743,1353232.105833492242,1372655.995369243668
973.125295123824,1324267.061095869867,1357493.013254276942
968.259668648205,1318912.098485332681,1333848.730774739524
963.418370304964,1318912.098485332681,1360362.914094141452
958.601278453439,1312205.123556227423,1318618.083876821911
953.808272061172,1271740.271205137949,1272114.432898829225
949.039230700866,1269392.368024113588,1314246.265552253462
944.294034547361,1269392.368024113588,1341515.179207094014
939.572564374625,1269392.368024113588,1378674.933798403013
934.874701552752,1269392.368024113588,1385195.058559044264
930.200328044988,1269392.368024113588,1328853.036144065438
925.549326404763,1269392.368024113588,1345514.055317263817
920.921579772739,1269392.368024113588,1312757.666788765928
916.316971873875,1269392.368024113588,1273876.008966719965
911.735387014506,1269392.368024113588,1313247.238966968842
907.176710079433,1258505.337542787660,1263299.624448307091
902.640826529036,1258505.337542787660,1283382.084206857253
898.127622396391,1258505.337542787660,1283527.377933795098
893.636984284409,1258505.337542787660,1262752.622007313417
889.168799362987,1238003.699939346872,1269286.615715497872
884.722955366172,1238003.699939346872,1308353.877306625480
880.299340589341,1238003.699939346872,1273955.047725858167
875.897843886394,1238003.699939346872,1272908.145848738030
871.518354666962,1238003.699939346872,1303542.680172742577
867.160762893628,1238003.699939346872,1304520.587088940665
862.824959079159,1238003.699939346872,1280398.558440452442
858.510834283764,1238003.699939346872,1282068.554760719417
854.218280112345,1231948.527863811003,1233920.418671929976
849.947188711783,1192126.698856089730,1204730.870206325082
845.697452768224,1182799.881520214956,1200343.761669372907
841.468965504383,1182799.881520214956,1198934.080239623087
837.261620676861,1180723.348949957872,1192604.830533059314
833.075312573477,1180723.348949957872,1203918.082711377647
828.909936010609,1180723.348949957872,1212401.422868639231
824.765386330556,1180723.348949957872,1183985.385540460004
820.641559398904,1173253.595427610213,1219319.014242594829
816.538351601909,1173253.595427610213,1234309.092756292084
812.455659843900,1173253.595427610213,1229763.283436079975
808.393381544680,1173253.595427610213,1245882.477036411874
804.351414636957,1173253.595427610213,1203771.588123091497
800.329657563772,1173253.595427610213,1208828.860997125041
796.328009275953,1173253.595427610213,1187567.310409727041
792.346369229573,1173253.595427610213,1174479.867811728036
788.384637383425,1152034.127636464546,1197373.385825311765
784.442714196508,1136496.604301495710,1141758.151181247551
780.520500625526,1136496.604301495710,1178324.274322058307
776.617898122398,1136496.604301495710,1203840.300954900216
772.734808631786,1136496.604301495710,1148039.708782937843
768.871134588627,1136361.161693073576,1152658.491091995267
765.026778915684,1136361.161693073576,1156483.324506048579
761.201645021106,1136361.161693073576,1164715.626747366972
757.395636796000,1136361.161693073576,1166835.877055647783
753.608658612020,1136361.161693073576,1217243.012980667176
749.840615318960,1136361.161693073576,1169061.980320420815
746.091412242365,1136361.161693073576,1153732.366517176619
742.360955181153,1132928.290979311801,1155184.138418424176
738.649150405248,1132928.290979311801,1168189.993977981620
734.955904653222,1132928.290979311801,1160252.071262354730
731.281125129955,1109730.231343622319,1113059.031336530345
727.624719504306,1109730.231343622319,1139172.703330670483
723.986595906784,1109730.231343622319,1123485.888574511744
720.366662927250,1109730.231343622319,1134314.395800003782
716.764829612614,1106636.623100555735,1127217.487210108433
713.181005464551,1106636.623100555735,1154689.673881448573
709.615100437228,1106636.623100555735,1152380.352224859176
706.067024935042,1105833.556330412161,1129516.778782778187
702.536689810367,1105833.556330412161,1122698.542825628538
699.024006361315,1100025.097692354582,1111987.368823426310
695.528886329509,1100025.097692354582,1106861.294108595233
692.051241897861,1080810.291454725666,1092455.747954301303
688.590985688372,1080810.291454725666,1090687.085765181808
685.148030759930,1075221.649499371415,1081740.300623595715
681.722290606130,1050660.956067112740,1064269.523347676499
678.313679153100,1050660.956067112740,1086479.290347609669
674.922110757334,1050660.956067112740,1087051.353426946327
671.547500203547,1050660.956067112740,1095310.663728242740
668.189762702530,1050660.956067112740,1086736.276709610829
664.848813889017,1036069.375995692099,1045392.155029684072
661.524569819572,1023377.259138533729,1049043.081025064224
658.216946970474,1023377.259138533729,1059500.288225461496
654.925862235622,1023377.259138533729,1073967.127012573183
651.651232924444,1023377.259138533729,1061160.166476241546
648.392976759821,1023377.259138533729,1070666.564932685113
